,ABIERTA 1,ABIERTA_LIMPIADA,ABIERTA_LIMPIADA_TEXT,sentimiento,polaridad,subjetividad,categoria_sentimiento,cluster
31,"MUY BUENA, APRENDI  NO SABE, NOS  ENSEÑARAMOS,LAS FINANZA A LAS PERSONAS QUE GANA POQUITO VENDIENDO HUEVO, OTRAS COSAS, A MI LAS COSTURAS","['buena', 'aprendi', 'sabe', 'enseñaramoslas', 'finanza', 'personas', 'gana', 'poquito', 'vendiendo', 'huevo', 'costuras']",buena aprendi sabe enseñaramoslas finanza personas gana poquito vendiendo huevo costuras,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
32,APRENDER MUCHAS COSAS,"['aprender', 'muchas']",aprender muchas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
33,"MUCHOS BENEFICIOS , EN CUANTO NOS ENSEÑARON A CUIDAR NUESTRA DENTADURA , NUESTROS PIES, CUIDAR TAMBIEN NUESTROS HUERTOS, NOS TRAJERON SEMILLAS , REGAR A GOTEO  Y COMO HACER RENDIR NUESTRO DINERO, PARA MI FUE MARAVILLO Y EL PROXIMO AÑO LO REPITAN","['beneficios', 'cuanto', 'enseñaron', 'cuidar', 'dentadura', 'pies', 'cuidar', 'tambien', 'huertos', 'trajeron', 'semillas', 'regar', 'goteo', 'hacer', 'rendir', 'dinero', 'maravillo', 'proximo', 'año', 'repitan']",beneficios cuanto enseñaron cuidar dentadura pies cuidar tambien huertos trajeron semillas regar goteo hacer rendir dinero maravillo proximo año repitan,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
34,"MUY BUENA PORQUE ERA CORTO EL TIEMPO QUE ESTUVO, UNA VEZ A LA SEMANA Y CUANDO ME DIJERON YA ESTABA FUE UNA AYUDA. EL TEMA DE LOS PIES, DE LA VISTA, QUE VENGAN, YA NO VAN POR LAS VACACIONES Y PARARON OJALA QUE VUELVAN","['buena', 'corto', 'tiempo', 'vez', 'semana', 'dijeron', 'ayuda', 'tema', 'pies', 'vista', 'vengan', 'van', 'vacaciones', 'pararon', 'ojala', 'vuelvan']",buena corto tiempo vez semana dijeron ayuda tema pies vista vengan van vacaciones pararon ojala vuelvan,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
35,LE GUSTO PORQUE QUEDARON MUY SATISFECHOS CON LAS ACTIVIDADES QUE LE ENSEÑARON EN SANTO TOMAS Y ELLOS LES PIDIERON AYUDA DE SUS EXPERIENCIAS VIVIDAS,"['gusto', 'quedaron', 'satisfechos', 'actividades', 'enseñaron', 'pidieron', 'ayuda', 'experiencias', 'vividas']",gusto quedaron satisfechos actividades enseñaron pidieron ayuda experiencias vividas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
36,"QUE UNO APRENDIO COSAS QUE NO SABIA, COMO LA ALIMENTACION Y CUANDO UNA PERSONA ES DIABETICA, LOS EJERCICIOS QUE LE AYUDABAN A LAS PERSONAS DE TERCERA EDAD","['aprendio', 'sabia', 'alimentacion', 'persona', 'diabetica', 'ejercicios', 'ayudaban', 'personas', 'tercera', 'edad']",aprendio sabia alimentacion persona diabetica ejercicios ayudaban personas tercera edad,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
37,"NOS AYUDO PORQUE DEBEMOS SER AUTONOMAS QUE SANTO TOMAS SIGA HACIENDO ESTOS TALLERES PARA QUE ALL MAS PARTICIPACION PARA LOS ADULTOS MAYORES LOS ENTRE BUENOS , SE PREOCUPEN DE SEGUIR APOYANDO AL ADULTO MAYOR","['ayudo', 'debemos', 'ser', 'autonomas', 'siga', 'haciendo', 'talleres', 'all', 'participacion', 'adultos', 'mayores', 'buenos', 'preocupen', 'seguir', 'apoyando', 'adulto', 'mayor']",ayudo debemos ser autonomas siga haciendo talleres all participacion adultos mayores buenos preocupen seguir apoyando adulto mayor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
38,"BUENA,FUE MUY BUENA PARA MI A UNO LA SACAN DE UN HOYO PROFUNDO, HAY TANTA COSA, ERA EXCELENTE Y SE METE COSA EN LA CABEZA, PARA USTED. MUY BUENO, LE DIGO POR SI MISMO. APROVECHA SU OPORTUNIDAD","['buenafue', 'buena', 'sacan', 'hoyo', 'profundo', 'tanta', 'cosa', 'excelente', 'mete', 'cosa', 'cabeza', 'usted', 'bueno', 'digo', 'si', 'mismo', 'aprovecha', 'oportunidad']",buenafue buena sacan hoyo profundo tanta cosa excelente mete cosa cabeza usted bueno digo si mismo aprovecha oportunidad,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
39,RESPETO AL ADULTO MAYOR Y CUIDADO A MEDIO AMBIENTE,"['respeto', 'adulto', 'mayor', 'cuidado', 'medio', 'ambiente']",respeto adulto mayor cuidado medio ambiente,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
40,TUVO UN MUY BUEN TRATO DE LAS PERSONAS DEL CURSO Y DABAN BUENOS CONSEJOS Y CONVEERSABAN CON ELLOS,"['buen', 'trato', 'personas', 'curso', 'daban', 'buenos', 'consejos', 'conveersaban']",buen trato personas curso daban buenos consejos conveersaban,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
